price,rating,review_count,review_sentiment,review_subjectivity,title_length,word_count,brand_CHERRY,brand_CLAVIER,brand_CORSAIR,brand_GLORIOUS,brand_LOGITECH,brand_MARS,brand_OTHER,brand_RAZER,brand_STEELSERIES,brand_THE,brand_TRUST,is_mechanical,is_wireless,is_rgb,is_azerty,price_log,is_successful
39.99,4.6,92,0.0,0.6333333333333334,172,30,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.7133281345162463,1
149.0,3.4,5,0.5275,1.0,198,28,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,5.0106352940962555,0
59.95,4.275574712643678,0,0.0,0.0,121,21,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,4.110053855927281,0
87.99,4.275574712643678,0,0.0,0.0,131,19,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,4.488524003868771,0
72.0,4.2,48,0.1,0.0,62,12,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,4.290459441148391,1
34.99,4.6,15,0.36076923076923073,1.0,157,20,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.5832411220909393,0
19.9,4.275574712643678,0,0.0,0.0,139,22,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.039749158970765,0
17.99,4.275574712643678,0,0.0,0.0,123,20,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,2.9439125248241944,0
260.89,4.5,1326,-0.375,0.85,75,10,False,False,True,False,False,False,False,False,False,False,False,1,0,1,0,5.567924568272286,1
39.99,4.3,161,0.19499999999999998,0.0,195,28,False,False,False,False,False,False,True,False,False,False,False,0,0,1,1,3.7133281345162463,1
24.95,4.275574712643678,0,0.0,0.0,190,28,False,False,False,False,False,False,True,False,False,False,False,1,1,0,0,3.2561716096118976,0
639.21,4.3,3,0.0,0.0,59,10,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,6.461796247532483,0
199.95,4.0,24,0.0,0.0,169,25,False,False,False,False,True,False,False,False,False,False,False,1,1,1,0,5.30305612089521,0
19.9,4.1,382,0.18499999999999997,0.6678571428571428,189,25,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,3.039749158970765,1
1.0,4.275574712643678,0,0.0,0.0,174,29,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0.6931471805599453,0
26.24,3.8,24,0.3892727272727274,0.6666666666666666,167,22,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.3046864812813115,0
14.96,4.4,1201,0.21949999999999997,0.34523809523809523,179,26,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,2.7700855920216627,1
59.99,4.275574712643678,0,0.0,0.0,153,27,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,4.110709916308365,0
59.95,4.5,1000,0.4555555555555556,0.0,196,26,False,False,False,False,True,False,False,False,False,False,False,1,0,1,1,4.110053855927281,1
19.9,4.275574712643678,0,0.0,0.0,137,18,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,3.039749158970765,0
33.27,4.2,7,0.40166666666666667,0.0,179,29,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.5342703358865175,0
47.99,4.275574712643678,0,0.0,0.0,185,28,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,3.8916161956504833,0
89.99,4.6,297,0.2896666666666667,0.0,173,33,False,False,True,False,False,False,False,False,False,False,False,1,0,1,1,4.5107496103686,1
39.93,5.0,1,0.0,0.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,3.7118632905043114,0
7.95,4.6,7,0.5,0.0,180,27,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,2.191653532286764,0
11.79,4.275574712643678,0,0.0,0.0,58,12,False,False,False,False,True,False,False,False,False,False,False,0,1,1,0,2.548663615590751,0
59.99,4.5,67,0.35,1.0,148,17,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,4.110709916308365,1
349.99,4.6,207,0.056607142857142856,0.519047619047619,184,30,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,5.8607577330315275,1
24.99,4.275574712643678,0,0.0,0.0,174,23,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.2577118486533987,0
49.99,4.4,80,0.054000000000000006,0.0,168,25,False,False,False,False,False,False,False,False,False,False,True,1,0,1,0,3.9316295350670645,1
17.99,4.275574712643678,0,0.0,0.0,133,19,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,2.9439125248241944,0
19.99,4.4,990,0.15708333333333332,0.07619047619047618,179,28,True,False,False,False,False,False,False,False,False,False,False,1,0,1,0,3.0440461338325417,1
39.99,4.275574712643678,0,0.0,0.0,195,29,False,False,False,True,False,False,False,False,False,False,False,1,0,1,0,3.7133281345162463,0
17.99,4.275574712643678,0,0.0,0.0,149,22,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,2.9439125248241944,0
119.0,4.4,60,0.325,0.0,34,7,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,4.787491742782046,1
39.89,4.275574712643678,0,0.0,0.0,193,29,False,False,False,False,False,False,False,False,False,True,False,0,1,0,1,3.7108855343765508,0
42.89,4.1,8,0.3666666666666667,1.0,193,30,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.7816865037001426,0
16.1,4.4,45,0.278,0.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,2.8390784635086144,1
54.99,4.6,3365,0.30199999999999994,0.5447619047619047,153,26,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,4.025173103360802,1
25.95,4.275574712643678,0,0.0,0.0,49,11,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,3.2939832973550063,0
179.99,4.275574712643678,0,0.0,0.0,148,23,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,5.19844178112078,0
33.74,4.6,25,0.10000000000000002,0.0,196,33,False,False,False,False,False,False,False,False,False,True,False,1,0,1,0,3.5478917608129588,0
18.98,4.1,8,0.7,0.6666666666666666,128,19,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,2.9947317732204075,0
24.29,4.4,4439,-0.095,0.0,187,31,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.2304090606818736,1
113.47,4.8,25,0.11100000000000002,0.925,197,29,False,False,False,True,False,False,False,False,False,False,False,1,0,1,1,4.740312779930385,0
71.99,4.5,6184,0.13694444444444442,0.0,180,26,False,False,False,False,False,False,False,True,False,False,False,1,0,0,1,4.2903224454635405,1
14.24,4.3,474,0.03,0.0,187,27,False,False,False,False,False,False,False,False,False,False,True,0,1,0,1,2.7239235502585,1
84.9,4.5,50,0.1888888888888889,0.75,194,31,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,4.45318382899021,1
59.95,4.4,590,0.20136363636363633,1.0,179,25,False,False,False,False,True,False,False,False,False,False,False,1,0,1,1,4.110053855927281,1
25.95,4.2,500,0.3,0.0,173,34,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.2939832973550063,1
9.99,4.2,809,0.7333333333333334,0.0,44,9,False,False,False,False,False,False,True,False,False,False,False,0,0,0,1,2.39698576841553,1
40.49,5.0,2,0.0,0.0,120,17,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.725452434344777,0
289.0,4.275574712643678,0,0.0,0.0,152,22,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,5.66988092298052,0
17.99,4.275574712643678,0,0.0,0.0,120,18,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,2.9439125248241944,0
24.9,4.275574712643678,0,0.0,0.0,165,26,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.254242968705492,0
13.9,4.7,21855,0.3225,0.5555555555555555,45,8,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,2.7013612129514133,1
41.66,4.275574712643678,0,0.0,0.0,137,21,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,3.753261713043204,0
463.99,4.1,19,0.228375,0.0,175,24,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,6.142015899979769,0
80.87,4.2,86,0.1513157894736842,0.0,191,35,False,False,True,False,False,False,False,False,False,False,False,1,0,1,1,4.405132623388357,1
12.34,3.5,52,0.16450000000000006,0.35714285714285715,172,29,False,False,False,False,False,False,False,True,False,False,False,0,1,0,1,2.590767040487478,0
29.56,4.5,272,0.16090909090909092,0.0,188,28,False,False,False,False,False,False,False,False,False,True,False,1,0,1,1,3.4196919642983197,1
37.99,3.7,30,0.165,1.0,177,27,False,False,False,False,False,False,True,False,False,False,False,0,0,1,1,3.663305202994506,0
12.34,4.5,226,0.17933333333333332,0.5892857142857143,186,25,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,2.590767040487478,1
60.27,4.4,486,0.53,0.0,132,23,False,False,False,False,False,False,True,False,False,False,False,0,0,1,1,4.115290326737563,1
28.57,4.275574712643678,0,0.0,0.0,132,21,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.3867603338643857,0
19.79,4.4,275,-0.016666666666666666,0.6041666666666666,187,25,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.0344721018699214,1
89.74,4.275574712643678,0,0.0,0.0,125,25,False,False,False,False,False,False,False,True,False,False,False,0,1,0,1,4.507998274235818,0
39.64,4.4,1905,0.4025,1.0,191,31,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,3.7047528032702264,1
41.66,4.275574712643678,0,0.0,0.0,146,26,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,3.753261713043204,0
17.75,4.6,30,0.1875675675675675,0.530952380952381,186,34,False,False,False,False,False,False,False,True,False,False,False,0,1,1,1,2.9311937524164198,0
79.99,4.4,48,0.0,0.0,133,21,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,4.3943256902608985,1
49.99,3.8,45,1.0,0.0,182,24,False,False,False,False,False,False,False,False,False,False,True,1,0,1,1,3.9316295350670645,0
24.9,4.275574712643678,0,0.0,0.0,134,21,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.254242968705492,0
72.15,4.6,121,0.29857142857142854,0.6190476190476191,152,21,True,False,False,False,False,False,False,False,False,False,False,1,0,1,1,4.292512127466133,1
16.95,4.4,2098,0.37964285714285717,0.6785714285714286,175,30,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,2.8875901149342877,1
9.9,4.1,8617,0.016666666666666666,0.5230347904128392,192,25,False,False,False,False,False,True,False,False,False,False,False,1,0,1,0,2.388762789235098,1
259.99,4.4,53,0.11893617021276595,0.5928571428571429,188,27,False,False,False,False,False,False,False,True,False,False,False,1,0,0,1,5.564482092412441,1
39.99,4.5,78,0.4391666666666667,0.0,190,29,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,3.7133281345162463,1
